Restaurant Name,City,Locality,Average_Cost_USD,Currency,Price range,Votes,Has Table booking,Has Online delivery,Cuisine_Count,Aggregate rating
Le Petit Souffle,Makati City,"Century City Mall, Poblacion, Makati City",104.5,Botswana Pula(P),3,314,1,0,3,4.8
Izakaya Kikufuji,Makati City,"Little Tokyo, Legaspi Village, Makati City",114.0,Botswana Pula(P),3,591,1,0,1,4.5
Heat - Edsa Shangri-La,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City",380.0,Botswana Pula(P),4,270,1,0,4,4.4
Ooma,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",142.5,Botswana Pula(P),4,365,0,0,2,4.9
Sambo Kojin,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",142.5,Botswana Pula(P),4,229,1,0,2,4.8
Din Tai Fung,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",95.0,Botswana Pula(P),3,336,0,0,1,4.4
Buffet 101,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",190.0,Botswana Pula(P),4,520,1,0,2,4.0
Vikings,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",190.0,Botswana Pula(P),4,677,1,0,4,4.2
Spiral - Sofitel Philippine Plaza Manila,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City",570.0,Botswana Pula(P),4,621,1,0,3,4.9
Locavore,Pasig City,Kapitolyo,104.5,Botswana Pula(P),3,532,1,0,1,4.8
Silantro Fil-Mex,Pasig City,Kapitolyo,76.0,Botswana Pula(P),3,1070,0,0,2,4.9
Mad Mark's Creamery & Good Eats,Pasig City,Kapitolyo,85.5,Botswana Pula(P),3,488,1,0,3,4.2
Silantro Fil-Mex,Quezon City,"UP Town Center, Diliman, Quezon City",76.0,Botswana Pula(P),3,294,0,0,2,4.8
Guevarra's,San Juan City,Addition Hills,95.0,Botswana Pula(P),3,458,1,0,1,4.2
Sodam Korean Restaurant,San Juan City,Little Baguio,66.5,Botswana Pula(P),3,223,0,0,1,4.3
Cafe Arabelle,Santa Rosa,"Nuvali, Don Jose, Santa Rosa",76.0,Botswana Pula(P),3,29,0,0,4,3.6
Nonna's Pasta & Pizzeria,Santa Rosa,"Solenad 3, Don Jose, Santa Rosa",80.75,Botswana Pula(P),3,72,0,0,2,4.0
Balay Dako,Tagaytay City,Tagaytay City,114.0,Botswana Pula(P),3,211,1,0,1,4.5
Hobing Korean Dessert Cafe,Taguig City,"BGC Stopover Pavillion, Bonifacio Global City",57.0,Botswana Pula(P),2,118,0,0,3,4.5
Wildflour Cafe + Bakery,Taguig City,Bonifacio Global City,142.5,Botswana Pula(P),4,392,1,0,4,4.4
NIU by Vikings,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",285.0,Botswana Pula(P),4,535,1,0,4,4.7
The Food Hall by Todd English,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",171.0,Botswana Pula(P),4,618,1,0,4,4.5
Chez Michou,Brasí_lia,Asa Norte,13.75,Brazilian Real(R$),2,6,0,0,2,3.0
Cafí© Daniel Briand,Brasí_lia,Asa Norte,7.5,Brazilian Real(R$),1,9,0,0,1,3.8
Casa do Biscoito Mineiro,Brasí_lia,Asa Norte,11.25,Brazilian Real(R$),2,11,0,0,1,3.7
Maori,Brasí_lia,Asa Norte,15.0,Brazilian Real(R$),3,11,0,0,1,3.8
Pizza íæ Bessa,Brasí_lia,Asa Sul,12.5,Brazilian Real(R$),2,11,0,0,1,3.2
Sushi Loko,Brasí_lia,Asa Sul,20.0,Brazilian Real(R$),3,10,0,0,1,3.1
Beirute,Brasí_lia,Asa Sul,22.5,Brazilian Real(R$),3,8,0,0,1,3.7
New Koto,Brasí_lia,Asa Sul,50.0,Brazilian Real(R$),4,5,0,0,1,3.7
Villa Tevere,Brasí_lia,Asa Sul,37.5,Brazilian Real(R$),4,12,0,0,1,4.1
Rovereto,Brasí_lia,íguas Claras,25.0,Brazilian Real(R$),4,9,0,0,1,3.1
Buena Carne,Brasí_lia,íguas Claras,15.0,Brazilian Real(R$),3,9,0,0,2,3.6
Taco Pep,Brasí_lia,íguas Claras,25.0,Brazilian Real(R$),4,29,0,0,2,4.3
Coco Bambu,Brasí_lia,"Brasí_lia Shopping, Asa Norte",57.5,Brazilian Real(R$),4,17,0,0,1,4.2
Taypíç,Brasí_lia,Lago Sul,25.0,Brazilian Real(R$),4,5,0,0,2,3.6
Outback Steakhouse,Brasí_lia,"ParkShopping, Guaríç I",37.5,Brazilian Real(R$),4,10,0,0,2,4.0
Manzuíç,Brasí_lia,"Pontí£o Lago Sul, Lago Sul",60.0,Brazilian Real(R$),4,6,0,0,1,3.2
Coco Bambu,Brasí_lia,Setor De Clubes Esportivos Sul,57.5,Brazilian Real(R$),4,30,0,0,1,4.9
Gero,Brasí_lia,"Shopping Iguatemi, Lago Norte",87.5,Brazilian Real(R$),4,8,0,0,1,3.3
Brazilian American Burgers,Brasí_lia,Sudoeste,12.5,Brazilian Real(R$),2,9,0,0,2,3.6
Pesqueiro Eco Gourmet,Rio de Janeiro,Barra da Tijuca,35.0,Brazilian Real(R$),4,7,0,0,3,4.0
Confeitaria Colombo,Rio de Janeiro,Centro,25.0,Brazilian Real(R$),4,29,0,0,2,4.8
